[02.07.2020 16:41:31, поток 0] Парсим куки...
[02.07.2020 16:41:33, поток 0] Спарсили куки
[02.07.2020 16:41:33, поток 0] Получили куки...
[02.07.2020 16:41:33, поток 0] Начинаем работу...
[02.07.2020 16:45:05, поток 0] Парсим куки...
[02.07.2020 16:45:05, поток 0] Спарсили куки
[02.07.2020 16:45:05, поток 0] Получили куки...
[02.07.2020 16:45:05, поток 0] Начинаем работу...
[02.07.2020 16:45:21, поток 0] Что-то пошло не так, пытаемся восстановить аккаунт ещё раз.
[02.07.2020 16:45:21, поток 0] Парсим куки...
[02.07.2020 16:45:21, поток 0] Спарсили куки
[02.07.2020 16:45:21, поток 0] Получили куки...
[02.07.2020 16:45:21, поток 0] Начинаем работу...
[02.07.2020 16:45:31, поток 0] Что-то пошло не так, пытаемся восстановить аккаунт ещё раз.
[02.07.2020 16:45:31, поток 0] Парсим куки...
[02.07.2020 16:45:31, поток 0] Спарсили куки
[02.07.2020 16:45:31, поток 0] Получили куки...
[02.07.2020 16:45:31, поток 0] Начинаем работу...
[02.07.2020 16:53:18, поток 0] Парсим куки...
[02.07.2020 16:53:19, поток 0] Спарсили куки
[02.07.2020 16:53:19, поток 0] Получили куки...
[02.07.2020 16:53:19, поток 0] Начинаем работу...
[02.07.2020 16:55:10, поток 0] Что-то пошло не так, пытаемся восстановить аккаунт ещё раз.
[02.07.2020 16:55:10, поток 0] Парсим куки...
[02.07.2020 16:55:11, поток 0] Спарсили куки
[02.07.2020 16:55:11, поток 0] Получили куки...
[02.07.2020 16:55:11, поток 0] Начинаем работу...
[02.07.2020 16:55:20, поток 0] Что-то пошло не так, пытаемся восстановить аккаунт ещё раз.
[02.07.2020 16:55:20, поток 0] Парсим куки...
[02.07.2020 16:55:21, поток 0] Спарсили куки
[02.07.2020 16:55:21, поток 0] Получили куки...
[02.07.2020 16:55:21, поток 0] Начинаем работу...
[02.07.2020 16:56:40, поток 0] Что-то пошло не так, пытаемся восстановить аккаунт ещё раз.
[02.07.2020 16:56:40, поток 0] Парсим куки...
[02.07.2020 16:56:40, поток 0] Спарсили куки
[02.07.2020 16:56:40, поток 0] Получили куки...
[02.07.2020 16:56:40, поток 0] Начинаем работу...
[02.07.2020 17:12:55, поток 0] Парсим куки...
[02.07.2020 17:12:55, поток 0] Спарсили куки
[02.07.2020 17:12:55, поток 0] Получили куки...
[02.07.2020 17:12:55, поток 0] Начинаем работу...
[02.07.2020 17:13:27, поток 0] Что-то пошло не так, пытаемся восстановить аккаунт ещё раз.
[02.07.2020 17:13:27, поток 0] Парсим куки...
[02.07.2020 17:13:28, поток 0] Спарсили куки
[02.07.2020 17:13:28, поток 0] Получили куки...
[02.07.2020 17:13:28, поток 0] Начинаем работу...
[02.07.2020 17:45:36, поток 0] Парсим куки...
[02.07.2020 17:45:37, поток 0] Спарсили куки
[02.07.2020 17:45:37, поток 0] Получили куки...
[02.07.2020 17:45:37, поток 0] Начинаем работу...
[02.07.2020 18:00:17, поток 0] Парсим куки...
[02.07.2020 18:00:17, поток 0] Спарсили куки
[02.07.2020 18:00:17, поток 0] Получили куки...
[02.07.2020 18:00:17, поток 0] Начинаем работу...
[02.07.2020 18:18:26, поток 0] Парсим куки...
[02.07.2020 18:18:27, поток 0] Спарсили куки
[02.07.2020 18:18:27, поток 0] Получили куки...
[02.07.2020 18:18:27, поток 0] Начинаем работу...
[02.07.2020 20:06:14, поток 0] Парсим куки...
[02.07.2020 20:06:14, поток 0] Спарсили куки
[02.07.2020 20:06:14, поток 0] Получили куки...
[02.07.2020 20:06:14, поток 0] Начинаем работу...
[02.07.2020 23:50:20, поток 0] Парсим куки...
[02.07.2020 23:50:20, поток 0] Спарсили куки
[02.07.2020 23:50:20, поток 0] Получили куки...
[02.07.2020 23:50:20, поток 0] Начинаем работу...
[02.07.2020 23:54:11, поток 0] Парсим куки...
[02.07.2020 23:54:12, поток 0] Спарсили куки
[02.07.2020 23:54:12, поток 0] Получили куки...
[02.07.2020 23:54:12, поток 0] Начинаем работу...
[02.07.2020 23:55:08, поток 0] (Ошибка) Текст ошибки: System.IndexOutOfRangeException: Индекс находился вне границ массива.
   в InstaDirectMessage_ButDev.InstagramAccountRecover.GetCaptchaFromService() в D:\MaXiMAA\MaXiMAAOld\C#Готово\KWORK\InstaDirectMessage_ButDev\InstaDirectMessage_ButDev\InstagramAccountRecover.cs:строка 389
