[07.08.2020 15:56:04, поток 0] Parsing cookies...
[07.08.2020 15:56:05, поток 0] Cookie parsing
[07.08.2020 15:56:05, поток 0] Got cookies...
[07.08.2020 15:56:05, поток 0] Getting started...
[07.08.2020 15:56:07, поток 0] Failed to follow from account us.us.us.us2020 to ID us.us.us.us2020:facebook_new
[07.08.2020 15:57:39, поток 0] Parsing cookies...
[07.08.2020 15:57:39, поток 0] Cookie parsing
[07.08.2020 15:57:39, поток 0] Got cookies...
[07.08.2020 15:57:39, поток 0] Getting started...
[07.08.2020 15:57:42, поток 0] Successfully followed from account us.us.us.us2020 to ID 24872342822
[07.08.2020 15:57:42, поток 0] Waiting seconds: 60
[07.08.2020 15:58:42, поток 0] Successfully followed from account us.us.us.us2020 to ID 37037785865
[07.08.2020 16:04:38, поток 0] Parsing cookies...
[07.08.2020 16:04:39, поток 0] Cookie parsing
[07.08.2020 16:04:39, поток 0] Got cookies...
[07.08.2020 16:04:39, поток 0] Getting started...
[07.08.2020 16:04:41, поток 0] Successfully followed from account us.us.us.us2020 to ID 24872342822
[07.08.2020 16:04:41, поток 0] Waiting seconds: 60
[07.08.2020 16:05:41, поток 0] Follow request sent from account us.us.us.us2020 to ID 37037785865
