[30.09.2020 21:51:50, поток 0] Parsing cookies...
[30.09.2020 21:51:51, поток 0] Cookie parsing
[30.09.2020 21:51:51, поток 0] Got cookies...
[30.09.2020 21:51:51, поток 0] Getting started...
[30.09.2020 21:51:58, поток 0] a2.a2.a2.a22020:facebook_new- something went wrong!
[30.09.2020 21:51:58, поток 0] Parsing cookies...
[30.09.2020 21:51:59, поток 0] Cookie parsing
[30.09.2020 21:51:59, поток 0] Got cookies...
[30.09.2020 21:51:59, поток 0] Getting started...
[30.09.2020 21:52:04, поток 0] a2.a2.a2.a22020:facebook_new- something went wrong!
[30.09.2020 21:52:04, поток 0] Parsing cookies...
[30.09.2020 21:52:04, поток 0] Cookie parsing
[30.09.2020 21:52:04, поток 0] Got cookies...
[30.09.2020 21:52:04, поток 0] Getting started...
[30.09.2020 21:52:09, поток 0] a2.a2.a2.a22020:facebook_new- something went wrong!
[30.09.2020 21:52:09, поток 0] Parsing cookies...
[30.09.2020 21:52:10, поток 0] Cookie parsing
[30.09.2020 21:52:10, поток 0] Got cookies...
[30.09.2020 21:52:10, поток 0] Getting started...
[30.09.2020 21:52:14, поток 0] a2.a2.a2.a22020:facebook_new- something went wrong!
[30.09.2020 21:52:14, поток 0] Parsing cookies...
[30.09.2020 21:52:15, поток 0] Cookie parsing
[30.09.2020 21:52:15, поток 0] Got cookies...
[30.09.2020 21:52:15, поток 0] Getting started...
[30.09.2020 21:52:24, поток 0] a2.a2.a2.a22020:facebook_new- something went wrong!
[30.09.2020 21:52:24, поток 0] Parsing cookies...
[30.09.2020 21:52:24, поток 0] Cookie parsing
[30.09.2020 21:52:24, поток 0] Got cookies...
[30.09.2020 21:52:24, поток 0] Getting started...
[30.09.2020 21:52:41, поток 0] a2.a2.a2.a22020:facebook_new- something went wrong!
[30.09.2020 21:52:41, поток 0] Parsing cookies...
[30.09.2020 21:52:42, поток 0] Cookie parsing
[30.09.2020 21:52:42, поток 0] Got cookies...
[30.09.2020 21:52:42, поток 0] Getting started...
[30.09.2020 21:52:53, поток 0] a2.a2.a2.a22020:facebook_new- something went wrong!
[30.09.2020 21:52:53, поток 0] Parsing cookies...
[30.09.2020 21:52:53, поток 0] Cookie parsing
[30.09.2020 21:52:53, поток 0] Got cookies...
[30.09.2020 21:52:53, поток 0] Getting started...
[30.09.2020 21:52:59, поток 0] a2.a2.a2.a22020:facebook_new- something went wrong!
[30.09.2020 21:52:59, поток 0] Parsing cookies...
[30.09.2020 21:53:00, поток 0] Cookie parsing
[30.09.2020 21:53:00, поток 0] Got cookies...
[30.09.2020 21:53:00, поток 0] Getting started...
[30.09.2020 21:53:05, поток 0] a2.a2.a2.a22020:facebook_new- something went wrong!
[30.09.2020 21:53:05, поток 0] Parsing cookies...
[30.09.2020 21:53:05, поток 0] Cookie parsing
[30.09.2020 21:53:05, поток 0] Got cookies...
[30.09.2020 21:53:05, поток 0] Getting started...
[30.09.2020 21:53:11, поток 0] a2.a2.a2.a22020:facebook_new- something went wrong!
[30.09.2020 21:53:11, поток 0] Parsing cookies...
[30.09.2020 21:53:12, поток 0] Cookie parsing
[30.09.2020 21:53:12, поток 0] Got cookies...
[30.09.2020 21:53:12, поток 0] Getting started...
[30.09.2020 21:53:25, поток 0] a2.a2.a2.a22020:facebook_new- something went wrong!
[30.09.2020 21:53:25, поток 0] Parsing cookies...
[30.09.2020 21:53:26, поток 0] Cookie parsing
[30.09.2020 21:53:26, поток 0] Got cookies...
[30.09.2020 21:53:26, поток 0] Getting started...
