[14.02.2020 18:34:40, поток 0] [DEBUG] Start...
[14.02.2020 18:34:49, поток 0] Спарсили куки
[14.02.2020 18:34:52, поток 0] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:34:53, поток 0] Спарсили куки
[14.02.2020 18:34:57, поток 0] [DEBUG] Start...
[14.02.2020 18:37:27, поток 0] [DEBUG] Start...
[14.02.2020 18:37:28, поток 1] [DEBUG] Start...
[14.02.2020 18:37:28, поток 2] [DEBUG] Start...
[14.02.2020 18:37:28, поток 3] [DEBUG] Start...
[14.02.2020 18:37:29, поток 4] [DEBUG] Start...
[14.02.2020 18:37:29, поток 0] Спарсили куки
[14.02.2020 18:37:30, поток 1] Спарсили куки
[14.02.2020 18:37:30, поток 5] [DEBUG] Start...
[14.02.2020 18:37:30, поток 6] [DEBUG] Start...
[14.02.2020 18:37:30, поток 3] Спарсили куки
[14.02.2020 18:37:30, поток 4] Спарсили куки
[14.02.2020 18:37:31, поток 5] Спарсили куки
[14.02.2020 18:37:31, поток 7] [DEBUG] Start...
[14.02.2020 18:37:31, поток 6] Спарсили куки
[14.02.2020 18:37:32, поток 1] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:32, поток 8] [DEBUG] Start...
[14.02.2020 18:37:32, поток 7] Спарсили куки
[14.02.2020 18:37:32, поток 9] [DEBUG] Start...
[14.02.2020 18:37:32, поток 0] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:32, поток 4] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:32, поток 9] Спарсили куки
[14.02.2020 18:37:33, поток 8] Спарсили куки
[14.02.2020 18:37:33, поток 1] Спарсили куки
[14.02.2020 18:37:33, поток 10] [DEBUG] Start...
[14.02.2020 18:37:33, поток 5] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:33, поток 6] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:33, поток 3] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:33, поток 0] Спарсили куки
[14.02.2020 18:37:34, поток 4] Спарсили куки
[14.02.2020 18:37:34, поток 7] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:34, поток 10] Спарсили куки
[14.02.2020 18:37:34, поток 5] Спарсили куки
[14.02.2020 18:37:34, поток 9] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:34, поток 6] Спарсили куки
[14.02.2020 18:37:34, поток 3] Спарсили куки
[14.02.2020 18:37:34, поток 8] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:35, поток 9] Спарсили куки
[14.02.2020 18:37:35, поток 7] Спарсили куки
[14.02.2020 18:37:35, поток 2] Спарсили куки
[14.02.2020 18:37:35, поток 8] Спарсили куки
[14.02.2020 18:37:36, поток 10] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:37, поток 1] [DEBUG] Start...
[14.02.2020 18:37:37, поток 10] Спарсили куки
[14.02.2020 18:37:38, поток 1] Спарсили куки
[14.02.2020 18:37:38, поток 0] [DEBUG] Start...
[14.02.2020 18:37:38, поток 4] [DEBUG] Start...
[14.02.2020 18:37:38, поток 9] [DEBUG] Start...
[14.02.2020 18:37:38, поток 6] [DEBUG] Start...
[14.02.2020 18:37:38, поток 5] [DEBUG] Start...
[14.02.2020 18:37:39, поток 0] Спарсили куки
[14.02.2020 18:37:39, поток 4] Спарсили куки
[14.02.2020 18:37:39, поток 9] Спарсили куки
[14.02.2020 18:37:39, поток 3] [DEBUG] Start...
[14.02.2020 18:37:39, поток 7] [DEBUG] Start...
[14.02.2020 18:37:39, поток 8] [DEBUG] Start...
[14.02.2020 18:37:39, поток 6] Спарсили куки
[14.02.2020 18:37:39, поток 5] Спарсили куки
[14.02.2020 18:37:40, поток 1] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:40, поток 8] Спарсили куки
[14.02.2020 18:37:40, поток 7] Спарсили куки
[14.02.2020 18:37:40, поток 3] Спарсили куки
[14.02.2020 18:37:40, поток 9] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:41, поток 2] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:41, поток 1] Спарсили куки
[14.02.2020 18:37:41, поток 10] [DEBUG] Start...
[14.02.2020 18:37:41, поток 4] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:41, поток 0] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:41, поток 9] Спарсили куки
[14.02.2020 18:37:41, поток 6] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:41, поток 5] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:42, поток 8] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:42, поток 10] Спарсили куки
[14.02.2020 18:37:42, поток 4] Спарсили куки
[14.02.2020 18:37:42, поток 7] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:42, поток 3] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:42, поток 0] Спарсили куки
[14.02.2020 18:37:42, поток 6] Спарсили куки
[14.02.2020 18:37:43, поток 5] Спарсили куки
[14.02.2020 18:37:43, поток 8] Спарсили куки
[14.02.2020 18:37:43, поток 7] Спарсили куки
[14.02.2020 18:37:43, поток 3] Спарсили куки
[14.02.2020 18:37:44, поток 2] Спарсили куки
[14.02.2020 18:37:44, поток 10] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:45, поток 10] Спарсили куки
[14.02.2020 18:37:51, поток 2] [DEBUG] Start...
[14.02.2020 18:37:52, поток 2] Спарсили куки
[14.02.2020 18:37:57, поток 2] [Ошибка] Что-то не так. Переделываем.
[14.02.2020 18:37:58, поток 2] Спарсили куки
